id,name
604,The Corpulent Cowboy
605,Recording Studio
606,Lurleen's Trailer
607,LURLEEN'S DRESSING ROOM
608,AWARDS SHOW SET
609,Prison Gate
610,Sideshow Mel's Apartment
611,RECEPTION HALL
612,Shelbyville Falls Hotel
613,Shelbyville Hotel Suite
614,Springfield Coliseum
615,COLISEUM
616,CONCERT ARENA
617,Arena
618,EXT. SCHOOL BUS STOP
619,TIRE YARD
620,Spinal Tap Tour Bus
621,SPINAL TOUR BUS
622,Department of Motor Vehicles
623,SERPENTINE COURSE
624,Springfield Elementary School Parking Lot
625,Simpson Garage
626,TESTING COURSE
627,POOL
628,MARTIN'S ROOM
629,Milhouse's Bedroom
630,St. Jerome's Catholic School
631,MEDICAL TESTING AREA
632,Testing Area
633,HOBO JUNGLE
634,HERB'S ESTATE
635,Powell Motors Showroom
636,Springfield Civic Center
637,TRAIN YARD
638,Train
639,Furniture Store
640,BABY EXPO
641,Kremlin
642,Simpson
643,Springfield Elementary School Bell Tower
644,FRONT HALLWAY
645,Kamp Krusty
646,Club House
647,CAMP MESS HALL
648,Mr. Black's Cabin
649,Bunk House
650,CENTER COURT WIMBLEDON
651,NATURE TRAIL
652,ARTS & CRAFTS CENTER
653,Audience
654,FAT KIDS' COMPOUND
655,Springfield Community Center
1233,England
656,REHEARSAL ROOM
657,Day Care Center
658,COMMUNITY CENTER
659,Alleyway
660,WOMB
661,FRONT YARD
662,Spookhouse
663,Caricaturist's Booth
664,Carnival
665,Hotel Ballroom
666,Beauty Salon
667,SALON
668,Blimp
669,Springfield Wax Museum
670,SPRINGFIELD DOCK
671,SPRINGFIELD MILITARY BASE
672,Helicopter
673,PARADE GROUNDS
674,COLLEGE FOOTBALL GAME
675,Mayor's Office
676,House Of Evil
677,Field
678,Malibu Stacey Doll House
679,Springfield Harbor
680,Dock
681,Ship
682,SKULL ISLAND
683,Island
684,JUNGLE
685,GIANT WALL
686,A SPRINGFIELD THEATER
687,ANOTHER THEATER
688,EMPIRE STATE BUILDING
689,BIPLANE
690,PET CEMETERY
691,Space
692,STARSHIP ENGINE ROOM
693,CHIPPENDALE-TYPE DANCE CLUB
694,Homer's Living Room
695,SPRINGFIELD ELEMENTARY SCHOOLYARD
696,RESTAURANT PARKING LOT
697,The Spruce Caboose
698,Grampa's Car
699,Las Vegas
700,Las Vegas Hotel Stage show
701,Krustylu Studios
702,WINFIELD AND SIMPSON HOUSES
703,WINFIELD BASEMENT
704,Suburban House
705,POWERS HOUSE
706,Two Guys from Kabul
707,The Frying Dutchman
708,Courthouse
709,HAWAIIAN ISLAND
710,Big Top
711,Used Car Lot
712,Car Show
713,Condominium Complex
714,MC MAHON AND TATE ADVERTISING AGENCY
715,Agency
716,WOMAN'S HOUSE
717,Mountain
718,WIDOW'S PEAK TURNOFF
719,Truck
720,Small Apartment
721,REALTOR'S OFFICE
722,Rendering Plant
723,Harbor
724,YET ANOTHER HOUSE
725,Truck Cab
726,Gas Station
727,HOSPITAL EMERGENCY ROOM
728,Emergency Room
729,Cathedral
730,MERRY WIDOW INSURANCE COMPANY
731,INSURANCE COMPANY
732,SPRINGFIELD TEMPLE
733,Springfield Buddhist Temple
734,MEDICAL LIBRARY
735,OPERATING THEATER
736,COLLEGE FRAT HOUSE
737,HOSPITAL WAITING ROOM
738,Intensive Care Corridor
739,Springfield Park
740,Springfield County Court House
741,Monorail Conductor Class
742,Monorail Construction Site
743,Monorail Cockpit
744,LANLEY'S OFC.
745,Office
746,North Haverbrook
747,Monorail
748,Springfield Central Monorail Platform
749,Monorail Dais
750,MONORAIL PLATFORM
751,Monorail Engine
752,Monorail Cabin
1695,Sportacus
753,COMMAND CENTER
754,HALL OF RECORDS
755,Sky
756,North Haverbrook Airport
757,Doctors Office
758,ANCHOR STORE
759,SIMPSON STATION WAGON
760,Diner
761,"""the Lucky Stiff"" Funeral Home"
762,FUNERAL PARLOR
763,FUNERAL PARLOR OFFICE
764,DATING SERVICE
765,GYPSY SHACK
766,Cryogenics Bank
767,SPERM BANK
768,SELMA'S HOUSE
769,Selma's Apartment
770,Simpson Driveway
771,Duff Gardens Entrance
772,BEER HALL OF THE PRESIDENTS
773,Duff Garden Souvenir Shop
774,Little Land Of Duff
775,Duff Gardens
776,SECURITY OFFICE
777,SOCCER FIELD
778,Simpson TV Room
779,BATHTUB
780,BIGGER BROTHER AGENCY
781,AGENCY OFFICE
782,SPRINGFIELD STADIUM
783,Baseball Field
784,SKY OVER SPRINGFIELD
785,TENEMENT BUILDING
786,PEPI'S STREET
